id_speaker	nome	cognome	sesso	legislatura	inizioMandato	fineMandato	tipoMandato	tipoFineMandato	dataNascita	cittaNascita	cittaNascita_geoname	provinciaNascita	nazioneNascita	idCamera	url_scheda
29461	Luca	Lotti	F	18	2018-03-23		deputato		1982-06-20	Empoli	https://www.geonames.org/3177400	Firenze	Italia	http://dati.camera.it/ocd/persona.rdf/p306128	http://www.senato.it/leg/17/BGT/Schede/Attsen/00029461.htm
29598	Angelo	Tofalo	M	17	2013-03-15	2018-03-22	deputato		1981-04-20	Salerno	https://www.geonames.org/3168670	Salerno	Italia	http://dati.camera.it/ocd/persona.rdf/p305910	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029598.htm
29598	Angelo	Tofalo	M	18	2018-03-23		deputato		1981-04-20	Salerno	https://www.geonames.org/3168670	Salerno	Italia	http://dati.camera.it/ocd/persona.rdf/p305910	http://www.senato.it/leg/18/BGT/Schede/Attsen/00029598.htm
32819	Roberto	Traversi	M	18	2018-03-23		deputato		1969-12-01	Milano	https://www.geonames.org/3173434	Milano	Italia	http://dati.camera.it/ocd/persona.rdf/p307132	http://www.senato.it/leg/18/BGT/Schede/Attsen/00032819.htm
33003	Anna Laura	Orrico	F	18	2018-03-23		deputato		1980-12-29	Cosenza	https://www.geonames.org/2524906	Cosenza	Italia	http://dati.camera.it/ocd/persona.rdf/p307564	http://www.senato.it/leg/18/BGT/Schede/Attsen/00033003.htm
33072	Stefano	Buffagni	M	18	2018-03-23		deputato		1983-09-06	Milano	https://www.geonames.org/3173434	Milano	Italia	http://dati.camera.it/ocd/persona.rdf/p307661	http://www.senato.it/leg/18/BGT/Schede/Attsen/00033072.htm
33096	Claudio	Durigon	M	18	2018-03-23		deputato		1971-09-10	Latina	https://www.geonames.org/3175057	Latina	Italia	http://dati.camera.it/ocd/persona.rdf/p307468	http://www.senato.it/leg/18/BGT/Schede/Attsen/00033096.htm
33102	Franco	Manzato	M	18	2018-03-23		deputato		1966-05-19	Oderzo	https://www.geonames.org/3172116	Treviso	Italia	http://dati.camera.it/ocd/persona.rdf/p307700	http://www.senato.it/leg/18/BGT/Schede/Attsen/00033102.htm
34297	Luca	Coletto	M				other		1961-05-27	Verona	https://www.geonames.org/3164526	Verona	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00034297.htm
34718	Achille	Variati	M				other		1953-01-19	Vicenza	https://www.geonames.org/3164418	Vicenza	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00034718.htm
35024	Gaetano	Manfredi	M				other		1964-01-04	Ottaviano	https://www.geonames.org/6541906	Napoli	Italia		http://www.senato.it/leg/18/BGT/Schede/Attsen/00035024.htm
